City,Area,lat,lon,crime_type,date,time,intensity
Delhi,Connaught Place,28.6329,77.2193,Theft,2025-01-15,14:30,0.7
Delhi,Chandni Chowk,28.6562,77.241,Snatching,2025-01-15,18:45,0.8
Delhi,Karol Bagh,28.6508,77.191,Pickpocketing,2025-01-15,12:10,0.6
Delhi,Nehru Place,28.5492,77.2502,Vehicle Theft,2025-01-15,16:00,0.9
Delhi,Saket,28.5284,77.2185,Burglary,2025-01-15,02:15,0.8
Delhi,Hauz Khas Village,28.5539,77.1942,Fighting,2025-01-15,23:45,0.9
Delhi,New Delhi Railway Station,28.6427,77.2201,Robbery,2025-01-15,01:30,1
Delhi,Anand Vihar ISBT,28.6496,77.3155,Harassment,2025-01-15,20:00,0.7
Delhi,Okhla Industrial Area,28.5376,77.2882,Vandalism,2025-01-15,22:10,0.5
Delhi,Rohini,28.7142,77.1001,Chain Snatching,2025-01-15,19:30,0.8
Delhi,Dwarka,28.5921,77.046,Abuse,2025-01-15,17:45,0.6
Delhi,Paharganj,28.6445,77.2118,Scam,2025-01-15,11:00,0.4
Delhi,Connaught Place,28.6329,77.2193,Theft,2025-01-15,14:30,0.7
Delhi,Chandni Chowk,28.6562,77.241,Snatching,2025-01-15,18:45,0.8
Delhi,Karol Bagh,28.6508,77.191,Pickpocketing,2025-01-15,12:10,0.6
Delhi,Nehru Place,28.5492,77.2502,Vehicle Theft,2025-01-15,16:00,0.9
Delhi,Saket,28.5284,77.2185,Burglary,2025-01-15,02:15,0.8
Delhi,Hauz Khas Village,28.5539,77.1942,Fighting,2025-01-15,23:45,0.9
Delhi,New Delhi Railway Station,28.6427,77.2201,Robbery,2025-01-15,01:30,1
Delhi,Anand Vihar ISBT,28.6496,77.3155,Harassment,2025-01-15,20:00,0.7
Delhi,Okhla Industrial Area,28.5376,77.2882,Vandalism,2025-01-15,22:10,0.5
Delhi,Rohini,28.7142,77.1001,Chain Snatching,2025-01-15,19:30,0.8
Delhi,Dwarka,28.5921,77.046,Abuse,2025-01-15,17:45,0.6
Delhi,Paharganj,28.6445,77.2118,Scam,2025-01-15,11:00,0.4
Delhi,Connaught Place,28.6325,77.2201,Assault,2025-01-16,21:50,0.9
Delhi,Chandni Chowk,28.6555,77.2415,Fighting,2025-01-16,13:20,0.8
Delhi,Karol Bagh,28.6515,77.1905,Theft,2025-01-16,15:00,0.7
Delhi,Nehru Place,28.5495,77.2505,Fraud,2025-01-16,12:45,0.5
Delhi,Saket,28.528,77.219,Harassment,2025-01-16,20:30,0.7
Delhi,Hauz Khas Village,28.5542,77.1945,Assault,2025-01-16,00:30,1
Delhi,New Delhi Railway Station,28.643,77.2205,Pickpocketing,2025-01-16,08:00,0.6
Delhi,Anand Vihar ISBT,28.6499,77.3159,Theft,2025-01-16,11:20,0.7
Delhi,Okhla Industrial Area,28.5379,77.2885,Robbery,2025-01-16,03:00,1
Delhi,Rohini,28.7145,77.1004,Vehicle Theft,2025-01-16,01:45,0.9
Delhi,Dwarka,28.5924,77.0463,Burglary,2025-01-16,02:30,0.8
Delhi,Paharganj,28.6448,77.2121,Drug Peddling,2025-01-16,16:50,0.8
Delhi,Connaught Place,28.6325,77.2201,Assault,2025-01-16,21:50,0.9
Delhi,Chandni Chowk,28.6555,77.2415,Fighting,2025-01-16,13:20,0.8
Delhi,Karol Bagh,28.6515,77.1905,Theft,2025-01-16,15:00,0.7
Delhi,Nehru Place,28.5495,77.2505,Fraud,2025-01-16,12:45,0.5
Delhi,Saket,28.528,77.219,Harassment,2025-01-16,20:30,0.7
Delhi,Hauz Khas Village,28.5542,77.1945,Assault,2025-01-16,00:30,1
Delhi,New Delhi Railway Station,28.643,77.2205,Pickpocketing,2025-01-16,08:00,0.6
Delhi,Anand Vihar ISBT,28.6499,77.3159,Theft,2025-01-16,11:20,0.7
Delhi,Okhla Industrial Area,28.5379,77.2885,Robbery,2025-01-16,03:00,1
Delhi,Rohini,28.7145,77.1004,Vehicle Theft,2025-01-16,01:45,0.9
Delhi,Dwarka,28.5924,77.0463,Burglary,2025-01-16,02:30,0.8
Delhi,Paharganj,28.6448,77.2121,Drug Peddling,2025-01-16,16:50,0.8
Delhi,Connaught Place,28.6331,77.2195,Snatching,2025-01-17,17:00,0.8
Delhi,Chandni Chowk,28.6564,77.2412,Harassment,2025-01-17,14:00,0.7
Delhi,Karol Bagh,28.6511,77.1912,Abuse,2025-01-17,16:30,0.6
Delhi,Nehru Place,28.5491,77.2501,Theft,2025-01-17,11:00,0.7
Delhi,Saket,28.5282,77.2187,Assault,2025-01-17,22:00,0.9
Delhi,Hauz Khas Village,28.5537,77.194,Fighting,2025-01-17,23:00,0.9
Delhi,New Delhi Railway Station,28.6425,77.2199,Snatching,2025-01-17,19:15,0.8
Delhi,Anand Vihar ISBT,28.6494,77.3153,Pickpocketing,2025-01-17,15:45,0.6
Delhi,Okhla Industrial Area,28.5374,77.288,Assault,2025-01-17,21:00,0.9
Delhi,Rohini,28.714,77.0999,Harassment,2025-01-17,20:00,0.7
Delhi,Dwarka,28.592,77.0459,Theft,2025-01-17,13:00,0.7
Delhi,Paharganj,28.6443,77.2116,Robbery,2025-01-17,04:00,1
Delhi,Connaught Place,28.6331,77.2195,Snatching,2025-01-17,17:00,0.8
Delhi,Chandni Chowk,28.6564,77.2412,Harassment,2025-01-17,14:00,0.7
Delhi,Karol Bagh,28.6511,77.1912,Abuse,2025-01-17,16:30,0.6
Delhi,Nehru Place,28.5491,77.2501,Theft,2025-01-17,11:00,0.7
Delhi,Saket,28.5282,77.2187,Assault,2025-01-17,22:00,0.9
Delhi,Hauz Khas Village,28.5537,77.194,Fighting,2025-01-17,23:00,0.9
Delhi,New Delhi Railway Station,28.6425,77.2199,Snatching,2025-01-17,19:15,0.8
Delhi,Anand Vihar ISBT,28.6494,77.3153,Pickpocketing,2025-01-17,15:45,0.6
Delhi,Okhla Industrial Area,28.5374,77.288,Assault,2025-01-17,21:00,0.9
Delhi,Rohini,28.714,77.0999,Harassment,2025-01-17,20:00,0.7
Delhi,Dwarka,28.592,77.0459,Theft,2025-01-17,13:00,0.7
Delhi,Paharganj,28.6443,77.2116,Robbery,2025-01-17,04:00,1
Delhi,Lajpat Nagar,28.5678,77.2427,Snatching,2025-01-18,17:30,0.8
Delhi,Greater Kailash,28.5496,77.2345,Burglary,2025-01-18,03:15,0.9
Delhi,Vasant Kunj,28.5262,77.1558,Vehicle Theft,2025-01-18,01:00,0.9
Delhi,Mayur Vihar,28.6083,77.2949,Assault,2025-01-18,22:30,0.9
Delhi,Pitampura,28.7001,77.1432,Harassment,2025-01-18,19:45,0.7
Delhi,Tilak Nagar,28.6369,77.0991,Fighting,2025-01-18,21:00,0.8
Delhi,Laxmi Nagar,28.6346,77.2721,Theft,2025-01-18,14:00,0.7
Delhi,Mukherjee Nagar,28.7077,77.2057,Abuse,2025-01-18,16:00,0.6
Delhi,Chanakyapuri,28.5966,77.1873,Vandalism,2025-01-18,23:50,0.5
Delhi,Mehrauli,28.5204,77.1813,Robbery,2025-01-18,02:00,1
Delhi,Lajpat Nagar,28.5678,77.2427,Snatching,2025-01-18,17:30,0.8
Delhi,Greater Kailash,28.5496,77.2345,Burglary,2025-01-18,03:15,0.9
Delhi,Vasant Kunj,28.5262,77.1558,Vehicle Theft,2025-01-18,01:00,0.9
Delhi,Mayur Vihar,28.6083,77.2949,Assault,2025-01-18,22:30,0.9
Delhi,Pitampura,28.7001,77.1432,Harassment,2025-01-18,19:45,0.7
Delhi,Tilak Nagar,28.6369,77.0991,Fighting,2025-01-18,21:00,0.8
Delhi,Laxmi Nagar,28.6346,77.2721,Theft,2025-01-18,14:00,0.7
Delhi,Mukherjee Nagar,28.7077,77.2057,Abuse,2025-01-18,16:00,0.6
Delhi,Chanakyapuri,28.5966,77.1873,Vandalism,2025-01-18,23:50,0.5
Delhi,Mehrauli,28.5204,77.1813,Robbery,2025-01-18,02:00,1
Delhi,Sarojini Nagar,28.5777,77.1925,Pickpocketing,2025-01-19,15:30,0.6
Delhi,Khan Market,28.6001,77.227,Scam,2025-01-19,13:00,0.4
Delhi,India Gate,28.6129,77.2295,Harassment,2025-01-19,20:15,0.7
Delhi,IIT Delhi,28.545,77.1926,Theft,2025-01-19,11:45,0.7
